Date,Revenue TTM
12/31/2016,$16.081B
9/30/2016,$15.981B
6/30/2016,$15.873B
3/31/2016,$15.816B
12/31/2015,$15.526B
9/30/2015,$14.909B
6/30/2015,$14.256B
3/31/2015,$13.474B
12/31/2014,$12.776B
9/30/2014,$12.36B
6/30/2014,$12.11B
3/31/2014,$12.074B
12/31/2013,$12.023B
9/30/2013,$11.917B
6/30/2013,$11.821B
3/31/2013,$11.546B
12/31/2012,$11.225B
9/30/2012,$10.816B
6/30/2012,$10.339B
3/31/2012,$9.841B
12/31/2011,$9.545B
9/30/2011,$9.257B
6/30/2011,$9.121B
3/31/2011,$9.034B
12/31/2010,$8.743B
9/30/2010,$8.303B
6/30/2010,$7.862B
3/31/2010,$7.517B
12/31/2009,$7.348B
9/30/2009,$7.279B
6/30/2009,$7.096B
3/31/2009,$6.824B
12/31/2008,$6.553B
9/30/2008,$6.318B
6/30/2008,$6.211B
3/31/2008,$6.132B
12/31/2007,$6.018B
9/30/2007,$5.952B
6/30/2007,$5.819B
3/31/2007,$5.699B
12/31/2006,$5.574B
9/30/2006,$5.421B
6/30/2006,$5.307B
3/31/2006,$5.1B
12/31/2005,$4.857B
9/30/2005,$4.644B
6/30/2005,$4.444B
3/31/2005,$4.318B
12/31/2004,$4.34B
9/30/2004,$4.263B